,Name,NameAr,LocalizedName,BusinessType,OtherTypeName,IsPopularBusiness,TotalReviews,Rating,Id,ActiveStatus,OwnerAllowStatus,CertificationStatus
2562,hiwhats,هاي واتساب,هاي واتساب,خدمات الأعمال,,False,26,5.0,144029,0,1,1
2563,Aseel Shop,اسيل شوب,اسيل شوب,الجمال والصحة,,False,26,5.0,118830,0,1,1
2564,AJN boutique,إيجن بوتيك,إيجن بوتيك,الجمال والصحة,,False,26,5.0,112155,0,1,1
2565,ROCHE,روشي,روشي,خدمات الأعمال,,False,26,5.0,74104,0,1,2
2566,GLUTEEN FREE BAKERY,مخبوزات فري قلوتين,مخبوزات فري قلوتين,أطعمة ومشروبات,,False,26,5.0,15379,0,1,1
2567,B J Store,ب ج,ب ج,الجمال والصحة,,False,25,5.0,304668,0,1,2
2568,4Seasons travel,شركة فور سيزونس ترافل للسفر و السياحة,شركة فور سيزونس ترافل للسفر و السياحة,خدمات الأعمال,,False,25,5.0,276622,0,1,2
2569,Sidr Store,متجر سدر ,متجر سدر ,إلكترونيات,,False,25,5.0,265095,0,1,1
2570,GD Workshop,منصة التصميم الذكية,منصة التصميم الذكية,التعليم,,False,25,5.0,95248,0,1,1
2571,Genesis KSA,جينسس السعودية,جينسس السعودية,السيارات,,False,25,5.0,51094,0,1,2
2572,Rokin Althaqafi for Translation,ركن الثقافي للترجمة,ركن الثقافي للترجمة,التعليم,,False,25,5.0,16560,0,1,1
2573,,مؤسسة مهرق للخدمات الطلابية,مؤسسة مهرق للخدمات الطلابية,التعليم,,False,24,5.0,214513,0,1,1
2574,esayfood1400,بيتفور أم الغــــلا,بيتفور أم الغــــلا,أطعمة ومشروبات,,False,24,5.0,173032,0,1,2
2575,Oudksa,عود السعودية,عود السعودية,الجمال والصحة,بيع العود ودهن العود والعطور,False,24,5.0,144007,0,1,2
2576,m3ahd com,معاهد كوم,معاهد كوم,خدمات الأعمال,,False,23,5.0,276969,0,1,2
2577, Boutique Najd,بوتيك نجد,بوتيك نجد,خدمات الأعمال,,False,23,5.0,200573,0,1,2
2578,Cooking candy Making and bakery 1,ايريس سويت,ايريس سويت,أطعمة ومشروبات,,False,23,5.0,196257,0,1,2
2579,,فال الخير,فال الخير,هدايا,,False,23,5.0,24320,0,1,1
2580,NONETATTOO,نورا تاتو,نورا تاتو,الجمال والصحة,,False,22,5.0,318101,0,1,2
2581,Basmah Shopping ,بسمة وسيطة مواقع,بسمة وسيطة مواقع,خدمات الأعمال,,False,22,5.0,262059,0,1,2
2582,La peonia,هديل وسيطة ,هديل وسيطة ,خدمات الأعمال,,False,22,5.0,226300,0,1,2
2583,,مؤسسة كراء المساكن للخدمات العقارية,مؤسسة كراء المساكن للخدمات العقارية,العقارات,,False,22,5.0,117588,0,1,1
2584,Golden Cala,قولدن كالا,قولدن كالا,الجمال والصحة,,False,22,5.0,108034,0,1,1
2585,Laura Spa,لورا سبا,لورا سبا,الجمال والصحة,,False,22,5.0,56572,0,1,2
2586,Carpet washing,غسيل السجاد,غسيل السجاد,المنزل,,False,22,5.0,51058,0,1,1
2587,qmastore,المتجر قمة,المتجر قمة,خدمات الأعمال,,False,22,5.0,25282,0,1,2
2588,SEAS PORT LOGISTICS,مؤسسة ميناء البحار للخدمات اللوجستية,مؤسسة ميناء البحار للخدمات اللوجستية,خدمات الأعمال,,False,21,5.0,212986,0,1,1
2589,GINDA,قيندا,قيندا,خدمات الأعمال,,False,21,5.0,134117,0,1,1
2590,Queen store,كوين ستور للمكياج,كوين ستور للمكياج,الجمال والصحة,,False,21,5.0,49092,0,1,1
2591,khayalacom,متجر خياله للعطورات الأصلية,متجر خياله للعطورات الأصلية,خدمات الأعمال,,False,21,5.0,40021,0,1,1
2592,Fadaa Marketing Agency,فضاء للتسويق الإلكتروني,فضاء للتسويق الإلكتروني,خدمات الأعمال,,False,20,5.0,341729,0,1,1
2593,Tak agency,مؤسسة تاك,مؤسسة تاك,خدمات الأعمال,,False,20,5.0,333441,0,1,1
2594,Shark Marketing Agency,شارك للتسويق الإلكتروني,شارك للتسويق الإلكتروني,خدمات الأعمال,,False,20,5.0,330146,0,1,1
2595,One1Million Marketing Agency,مؤسسة وان مليون للخدمات التسويقية,مؤسسة وان مليون للخدمات التسويقية,خدمات الأعمال,,False,20,5.0,327252,0,1,1
2596,SamakaStore, سمكة, سمكة,هدايا,فازات اسماك فايتر ونباتات داخلية ومائية,False,20,5.0,283152,0,1,2
2597,Managing and activating electronic sales,ادارة وتنشيط المبيعات الالكترونية,ادارة وتنشيط المبيعات الالكترونية,خدمات الأعمال,,False,20,5.0,226399,0,1,2
2598,Alharbi international company ,مؤسسة الحربي الدولية للمقاولات ,مؤسسة الحربي الدولية للمقاولات ,العقارات,,False,20,5.0,95277,0,1,1
2599,Esparoma ,اسباروما,اسباروما,خدمات الأعمال,,False,20,5.0,73167,0,1,1
2600,Laqtah,استديو لقطة,استديو لقطة,خدمات الأعمال,,False,20,5.0,64719,0,1,2
2601,butterflyshop,بترفلاي شوب ,بترفلاي شوب ,خدمات الأعمال,,False,20,5.0,60232,0,1,1
2602,DetailedPins,تفاصيل الدبابيس,تفاصيل الدبابيس,خدمات الأعمال,,False,20,5.0,56620,0,1,2
2603,wabel store,متجر وابل للأتصالات,متجر وابل للأتصالات,إلكترونيات,,False,20,5.0,54337,0,1,1
2604,LA FONTAINE,لافونتين,لافونتين,العقارات,,False,20,5.0,41648,0,1,1
2605,BEE  For Designs and Ads,تصميمات بأفضل جودة وأقل سعر,تصميمات بأفضل جودة وأقل سعر,خدمات الأعمال,,False,19,5.0,348012,0,1,2
2606,coffeeme,متجر قهوني,متجر قهوني,أطعمة ومشروبات,,False,19,5.0,339108,0,1,1
2607,Asalazhar,عسل أزهار ,عسل أزهار ,أطعمة ومشروبات,,False,19,5.0,257158,0,1,2
2608,Bhao1828,بشائر تصميم جرافيك و موشن جرافيك,بشائر تصميم جرافيك و موشن جرافيك,خدمات الأعمال,,False,19,5.0,234829,0,1,2
2609,FITME4,فيتمي,فيتمي,إلكترونيات,,False,19,5.0,202877,0,1,1
2610,Marah albarakh ,مراح البركة لبيع الأغنام,مراح البركة لبيع الأغنام,أطعمة ومشروبات,لايوجد,False,19,5.0,181228,0,1,2
2611,Noura shopping7,نوره شوبينق7,نوره شوبينق7,خدمات الأعمال,,False,19,5.0,117577,0,1,2
2612,My Pixie Dust,ماي بكسي دست,ماي بكسي دست,خدمات الأعمال,,False,19,5.0,108329,0,1,1
2613,Littleone,ليتل ون,ليتل ون,هدايا,,False,19,5.0,69756,0,1,2
2614,Noon Event,نون ايفينت  ,نون ايفينت  ,حفلات,,False,19,5.0,53662,0,1,1
2615,the unique things2,متجر الاشياء الفريده لجلالات الصلاه,متجر الاشياء الفريده لجلالات الصلاه,الجمال والصحة,,False,19,5.0,48915,0,1,2
2616,Nature Morocco,مؤسسة طبيعة أرض المغرب للتجارة,مؤسسة طبيعة أرض المغرب للتجارة,خدمات الأعمال,,False,19,5.0,42254,0,1,1
2617,,تصاميم ساره المجيول ,تصاميم ساره المجيول ,الجمال والصحة,,False,19,5.0,29833,0,1,1
2618,EASYSOLUTIONS FOR TECHNOLOGY SERVICE,مؤسسة حلول اسهل للاتصالات و تقنية المعلومات,مؤسسة حلول اسهل للاتصالات و تقنية المعلومات,خدمات الأعمال,,False,19,5.0,14822,0,1,1
2619,Shopper Leen,الوسيطة لين,الوسيطة لين,خدمات الأعمال,,False,18,5.0,271119,0,1,2
2620,DonStore,دون ستور,دون ستور,خدمات الأعمال,,False,18,5.0,228533,0,1,2
2621,Pamperyourself shop,دللي نفسك,دللي نفسك,المنزل,,False,18,5.0,176098,0,1,2
2622,topaz media,متجر توباز للهدايا,متجر توباز للهدايا,هدايا,,False,18,5.0,168082,0,1,2
2623,Gazelle Fragrance,عطر الغزال,عطر الغزال,الجمال والصحة,,False,18,5.0,165068,0,1,1
2624,Smart Eco,سمارت ايكو,سمارت ايكو,إلكترونيات,,False,18,5.0,159638,0,1,1
2625,Tamweej,تمويج,تمويج,الجمال والصحة,,False,18,5.0,115288,0,1,1
2626,alhala llgala,الحلا للغلا ,الحلا للغلا ,أطعمة ومشروبات,,False,18,5.0,84730,0,1,2
2627,RAB,ار اي بي للخدمات الالكترونية,ار اي بي للخدمات الالكترونية,خدمات الأعمال,,False,18,5.0,81143,0,1,2
2628,Fennec Fox,فنك فوكس,فنك فوكس,خدمات الأعمال,,False,18,5.0,27097,0,1,1
